source_dir,run_id,file_name,sha256,pdf_path,status,reason
D:\ic\master project\project_code\KG_construction\web_data\runs\01-introduction-to-rag\7cfd7fd31611,01-introduction-to-rag-7cfd7fd31611,01-introduction-to-rag.pdf,7cfd7fd316117255ab11718aa1e83a6c03b9d0edc4490e8699fe63ebdbeec833,D:\ic\master project\project_code\KG_construction\web_data\runs\01-introduction-to-rag\7cfd7fd31611\01-introduction-to-rag.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\01-simple-qa-readme\77b046bfe0ed,01-simple-qa-readme-77b046bfe0ed,01-simple-qa-README.pdf,77b046bfe0ed2527136ad23871b2934f8e7cbc705e43e045313db8cd6a03b31d,D:\ic\master project\project_code\KG_construction\web_data\runs\01-simple-qa-readme\77b046bfe0ed\01-simple-qa-README.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\01_intro\d3a9f91a36eb,01_intro-d3a9f91a36eb,01_intro.pdf,d3a9f91a36ebd8bd8ebe4eda805f5cf4f46e6f8d9f01730607fc5b6fbc9b2682,D:\ic\master project\project_code\KG_construction\web_data\runs\01_intro\d3a9f91a36eb\01_intro.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\02-document-chat-readme\f1744a249864,02-document-chat-readme-f1744a249864,02-document-chat-README.pdf,f1744a249864450d67120ba312b26c2636653114e1f310c5e4ede584daa2f533,D:\ic\master project\project_code\KG_construction\web_data\runs\02-document-chat-readme\f1744a249864\02-document-chat-README.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\02-understanding-embeddings\2a611584541b,02-understanding-embeddings-2a611584541b,02-understanding-embeddings.pdf,2a611584541beb27fa2667ea00074e6362e236cbbf8855464a3873eea74bec2e,D:\ic\master project\project_code\KG_construction\web_data\runs\02-understanding-embeddings\2a611584541b\02-understanding-embeddings.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\02_linear_algebra\a7843d98e072,02_linear_algebra-a7843d98e072,02_linear_algebra.pdf,a7843d98e0724cf58c8ae9bee3372da997558109d730374e7f9a2203e9891a55,D:\ic\master project\project_code\KG_construction\web_data\runs\02_linear_algebra\a7843d98e072\02_linear_algebra.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\03-vector-databases-retrieval\4f238ede4c95,03-vector-databases-retrieval-4f238ede4c95,03-vector-databases-retrieval.pdf,4f238ede4c95af9fb9948b035f2137922a0d6d3213fa3951df3caf20caa891d0,D:\ic\master project\project_code\KG_construction\web_data\runs\03-vector-databases-retrieval\4f238ede4c95\03-vector-databases-retrieval.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\03_prob\20e52d6d8bb6,03_prob-20e52d6d8bb6,03_prob.pdf,20e52d6d8bb6215b1a95cb6efe928b7dc4cee97a57c84283e905f5b70c9cbfe9,D:\ic\master project\project_code\KG_construction\web_data\runs\03_prob\20e52d6d8bb6\03_prob.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\04-language-models-generation\fd2b5b9f4415,04-language-models-generation-fd2b5b9f4415,04-language-models-generation.pdf,fd2b5b9f44155aa1e35cd4d2afa1456991aca98ce295bd2a3b8771c929232f80,D:\ic\master project\project_code\KG_construction\web_data\runs\04-language-models-generation\fd2b5b9f4415\04-language-models-generation.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\04_numerical\dd3a4dd53cd3,04_numerical-dd3a4dd53cd3,04_numerical.pdf,dd3a4dd53cd3c82a250f47305f44f4d4066b36ef2443397723055de4ed45a9a4,D:\ic\master project\project_code\KG_construction\web_data\runs\04_numerical\dd3a4dd53cd3\04_numerical.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\05-building-simple-rag\35ec62f5ee2b,05-building-simple-rag-35ec62f5ee2b,05-building-simple-rag.pdf,35ec62f5ee2b5b76fb8c40725f638949b72d9b584ee2f8d77dfd3fe051af777d,D:\ic\master project\project_code\KG_construction\web_data\runs\05-building-simple-rag\35ec62f5ee2b\05-building-simple-rag.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\05_ml\f11d16937e75,05_ml-f11d16937e75,05_ml.pdf,f11d16937e75185b7cfb6a106cd19511244a4b644cff76cfe990dbc30f598ff1,D:\ic\master project\project_code\KG_construction\web_data\runs\05_ml\f11d16937e75\05_ml.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\06-advanced-rag-techniques\a65350c7ccf6,06-advanced-rag-techniques-a65350c7ccf6,06-advanced-rag-techniques.pdf,a65350c7ccf69c097cdf31e91557343e55c158cc55979ea6eaf7d667915c9002,D:\ic\master project\project_code\KG_construction\web_data\runs\06-advanced-rag-techniques\a65350c7ccf6\06-advanced-rag-techniques.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\06_mlp\01e27d8d0770,06_mlp-01e27d8d0770,06_mlp.pdf,01e27d8d07707beb3f8eb4ba3bfe4018f3dd4a2d14e2976aaba0ddf32c867207,D:\ic\master project\project_code\KG_construction\web_data\runs\06_mlp\01e27d8d0770\06_mlp.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\07_regularization\997097d7933e,07_regularization-997097d7933e,07_regularization.pdf,997097d7933e27001ae81f533cedcc36197bcee6d3b669d361df7364dd833a13,D:\ic\master project\project_code\KG_construction\web_data\runs\07_regularization\997097d7933e\07_regularization.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\09_conv\426f5e52542b,09_conv-426f5e52542b,09_conv.pdf,426f5e52542b14242773b6643431c21c065ce3b101388d03d2f04796b1bf11b7,D:\ic\master project\project_code\KG_construction\web_data\runs\09_conv\426f5e52542b\09_conv.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\10_rnn\9b582c970ecc,10_rnn-9b582c970ecc,10_rnn.pdf,9b582c970ecc4819d3af8b0e00ee0461759bc7194a6793221237674e0fb104a8,D:\ic\master project\project_code\KG_construction\web_data\runs\10_rnn\9b582c970ecc\10_rnn.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\11_practical\a68993be7226,11_practical-a68993be7226,11_practical.pdf,a68993be72264d8775c2fd4af57f6dc69666266354cff3772af69be720adce15,D:\ic\master project\project_code\KG_construction\web_data\runs\11_practical\a68993be7226\11_practical.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\12_applications\138e122a8bdc,12_applications-138e122a8bdc,12_applications.pdf,138e122a8bdc0fa2c0fc34f6d2a21cb9b0fb30251be0c8aced8899aca2291766,D:\ic\master project\project_code\KG_construction\web_data\runs\12_applications\138e122a8bdc\12_applications.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\13_linear_factors\92de7f819b1a,13_linear_factors-92de7f819b1a,13_linear_factors.pdf,92de7f819b1aa57206582f6fa9d0179706012976becc2387dfbd9ebab9fe7985,D:\ic\master project\project_code\KG_construction\web_data\runs\13_linear_factors\92de7f819b1a\13_linear_factors.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\14_autoencoders\130bdd5f620b,14_autoencoders-130bdd5f620b,14_autoencoders.pdf,130bdd5f620b395c4f6d53184474648caf3be5832c689aa31fd97005725c31fb,D:\ic\master project\project_code\KG_construction\web_data\runs\14_autoencoders\130bdd5f620b\14_autoencoders.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\15_representation\4d0c1e4d0bc5,15_representation-4d0c1e4d0bc5,15_representation.pdf,4d0c1e4d0bc519f1b0bc6102880f21b37fb7ae8607d47e6f5196957e6896bf16,D:\ic\master project\project_code\KG_construction\web_data\runs\15_representation\4d0c1e4d0bc5\15_representation.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\16_graphical_models\26ce146b38e1,16_graphical_models-26ce146b38e1,16_graphical_models.pdf,26ce146b38e1c1f2f118f14cbcecff26aae98df67f61985095882b84bc028271,D:\ic\master project\project_code\KG_construction\web_data\runs\16_graphical_models\26ce146b38e1\16_graphical_models.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\17_monte_carlo\ff4d1de5355c,17_monte_carlo-ff4d1de5355c,17_monte_carlo.pdf,ff4d1de5355c472efdbd2b351a2731e72f41003a558cbd08434224fb330ff8dd,D:\ic\master project\project_code\KG_construction\web_data\runs\17_monte_carlo\ff4d1de5355c\17_monte_carlo.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\18_partition\b39fd6ffea3b,18_partition-b39fd6ffea3b,18_partition.pdf,b39fd6ffea3b937ecf281268343eef963d6f8c333586181b97c21c81b459770c,D:\ic\master project\project_code\KG_construction\web_data\runs\18_partition\b39fd6ffea3b\18_partition.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\2024-cs224n-python-review-session-slides.pptx\17ef722b88a0,2024-cs224n-python-review-session-slides.pptx-17ef722b88a0,2024 CS224N Python Review Session Slides.pptx.pdf,17ef722b88a092a524ec7d5575c7687908d4f8f6ab96948cf4ed6bb988824b8b,D:\ic\master project\project_code\KG_construction\web_data\runs\2024-cs224n-python-review-session-slides.pptx\17ef722b88a0\2024 CS224N Python Review Session Slides.pptx.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\andrew-ng-machine-learning-yearning\7e40402fdf34,andrew-ng-machine-learning-yearning-7e40402fdf34,andrew-ng-machine-learning-yearning.pdf,7e40402fdf34502f85a74e6b6629ab1caa2f4c68f2620563c92cf59b06a5d303,D:\ic\master project\project_code\KG_construction\web_data\runs\andrew-ng-machine-learning-yearning\7e40402fdf34\andrew-ng-machine-learning-yearning.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\batch_norm\d1d6f8695dd4,batch_norm-d1d6f8695dd4,batch_norm.pdf,d1d6f8695dd447c046d292bd0e7da5e0e78e674ec8fa34030291f92eb214a97a,D:\ic\master project\project_code\KG_construction\web_data\runs\batch_norm\d1d6f8695dd4\batch_norm.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture01-history\5845dce2ddc2,cs224n-2026-lecture01-history-5845dce2ddc2,cs224n-2026-lecture01-history.pdf,5845dce2ddc24d1fb69d17f50913cf0634a714bea8254fb93b0ee99c1812682e,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture01-history\5845dce2ddc2\cs224n-2026-lecture01-history.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture01-intro\f9a723b011b2,cs224n-2026-lecture01-intro-f9a723b011b2,cs224n-2026-lecture01-intro.pdf,f9a723b011b2e55efe11f2eb52665b1c3ca2b0071162b0eaa76dd4dd6202ef6d,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture01-intro\f9a723b011b2\cs224n-2026-lecture01-intro.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture02-wordvecs\fd0b4ad8af88,cs224n-2026-lecture02-wordvecs-fd0b4ad8af88,cs224n-2026-lecture02-wordvecs.pdf,fd0b4ad8af88732a64ce947e044b827ef8e05c8dcb808878b4762958ac078c29,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture02-wordvecs\fd0b4ad8af88\cs224n-2026-lecture02-wordvecs.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture03-neuralnets\8aae94ed0125,cs224n-2026-lecture03-neuralnets-8aae94ed0125,cs224n-2026-lecture03-neuralnets.pdf,8aae94ed012561752b0e064e7d1d6d6f81ebb973da4d19e44693e3f0763cf773,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture03-neuralnets\8aae94ed0125\cs224n-2026-lecture03-neuralnets.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture04-rnnlm\590f0f50aaee,cs224n-2026-lecture04-rnnlm-590f0f50aaee,cs224n-2026-lecture04-rnnlm.pdf,590f0f50aaee7f4e8cc655b113d8225ad50bf87885aa83651984e0c682196ac1,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture04-rnnlm\590f0f50aaee\cs224n-2026-lecture04-rnnlm.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture05-transformers\0e9017f9dbd8,cs224n-2026-lecture05-transformers-0e9017f9dbd8,cs224n-2026-lecture05-transformers.pdf,0e9017f9dbd8d3f995f32abac5951abd76d09cd78ed8fc5de20ebac32cbbe9e4,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture05-transformers\0e9017f9dbd8\cs224n-2026-lecture05-transformers.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture06-final-project\b7818dcc886c,cs224n-2026-lecture06-final-project-b7818dcc886c,cs224n-2026-lecture06-final-project.pdf,b7818dcc886c2fb45467bf3b32280deb78ed4b66b36ba70e77011db2bc5197c1,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture06-final-project\b7818dcc886c\cs224n-2026-lecture06-final-project.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture07-pretraining\2011d5086c71,cs224n-2026-lecture07-pretraining-2011d5086c71,cs224n-2026-lecture07-pretraining.pdf,2011d5086c717a25c628d0af7e6d2efa9847f9e58509a157b108935ae446ec6a,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture07-pretraining\2011d5086c71\cs224n-2026-lecture07-pretraining.pdf,excluded,"manifest_status:failed;missing:stage2c_similarity_edges.json,stage3_topics_with_summary.json"
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture08-posttraining\f71e4c3743c8,cs224n-2026-lecture08-posttraining-f71e4c3743c8,cs224n-2026-lecture08-posttraining.pdf,f71e4c3743c82287ff76da956afb533d14bac7b9ac236861187c347a875c698f,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture08-posttraining\f71e4c3743c8\cs224n-2026-lecture08-posttraining.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture09-peft\c94167e219b5,cs224n-2026-lecture09-peft-c94167e219b5,cs224n-2026-lecture09-peft.pdf,c94167e219b5feef4d3277251cfc10ebaccf9fb1ab491d4da88199778a519356,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture09-peft\c94167e219b5\cs224n-2026-lecture09-peft.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture10-rag-agents\2e97edb678d2,cs224n-2026-lecture10-rag-agents-2e97edb678d2,cs224n-2026-lecture10-rag-agents.pdf,2e97edb678d244fb493e5f9d1ef113151f3096a72896020a94d29e1e62bde31f,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture10-rag-agents\2e97edb678d2\cs224n-2026-lecture10-rag-agents.pdf,eligible,
D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture11-evaluation\93703513bbd4,cs224n-2026-lecture11-evaluation-93703513bbd4,cs224n-2026-lecture11-evaluation.pdf,93703513bbd445f9545f6ed83044917cd209b315fe29b25e3acb63af1d616844,D:\ic\master project\project_code\KG_construction\web_data\runs\cs224n-2026-lecture11-evaluation\93703513bbd4\cs224n-2026-lecture11-evaluation.pdf,eligible,
